,Updated: 17 Oct 2023,,,,,,,,,,,,,,,,,,,Chuy?n máy t? ... v? ... dd.mm.yyyy,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,Chuy?n máy CUT t? HYN v? HYS 12.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-Internal: chuy?n máy qua l?i gi?a HYS và HYN,,,,,,,,,,,,,,,,,,,Chuy?n máy t? HYN ?i H?ng Long thuê 11.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-External: chuy?n ra kh?i HYS và HYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,,,,ACT 2023,,,,,,,,,,Luan note,,,,
,Actual location,Stt,DIVISION,ASSET,LAWPROD_AMASSET_DESCRIPTION,ITEM_TOT_QTY,Q'ty 2,Tag th?c t?,Tag,TAG_NBR,SERIAL_NUMBER,MODEL_NUMBER,MODEL,Plant th?c t?,NOTE_BIN,Bin th?c t?,Tên máy,Khu v?c,Tr?ng thái,Ghi chú,From,To,To 2,To 3,Th?i h?n Transfer,ASSET_TYPE,INSRV_DATE, BOOK_BASIS , Net_Book_Value ,Department,Lo?i máy,Note,CS-line,Nhà s?n xu?t,S? tag,Serial,Model,Bin,Location,"Tên 
Ng??i ki?m","Tên
Ng??i nh?p",Note,Note match,,,,
#N/A,HYN,35,3844-7314321,297792,SEWING MACHINE,1,1,219879,219879,219879,HA33427,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-11 3,Yamato,219879,HA33427,CF2303,E6.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,36,3844-7254321,297666,SEWING MACHINE,1,1,219739,219739,219739,TN85709,CZ6003-03DF/B3,CZ6003,HYS,In production,KHU V?C TEST MÁY - CUT,Overlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008, $891 , $-   ,Mechanic,Máy may,,MEC-163 11,Yamato,219739,TN85709,CZ6003-03DF/B3,CAT01,,??t,V?ng,,Match,,,,
#N/A,HYN,37,3844-7314321,297684,SEWING MACHINE,1,1,M?t,219802,219802,TN83927,CZ6003-03DF/B3,CZ6003,HL,WH,HL,Overlock,Sewing machine,TRANSFER-External,Chuy?n máy t? HYN v? HYS 22.11.2023/ Chuy?n máy t? HYN ?i H?ng Long thuê 11.12.2023,HYN,HYS,HL,,,MACHEQUIP,8/1/2008, $891 , $-   ,Mechanic,Máy may,,HYN-4 6,Yamato,M?t,TN83927,CZ6003,B2.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,38,3844-7254319,365760,HYDRAULIC LIFT TABLE,1,1,738230,738230,738230,SS-GN-2356,SJG0.6-1.2,No model,HYS,In production,CCD WB,Hydraulic lifter ,CCD machine,,,,,,,,MACHEQUIP,6/8/2014," $3,050 ", $209 ,Mechanic,bàn nâng,,MEC-10 15,trung qu?c,738230,SS-GN-2356,SJG0.6-1.2,LINE 3,,Doanh + B?y + Chung,My,,Match,,,,
#N/A,HYN,39,3844-7314321,297765,SEWING MACHINE,1,1,701052,219775,219775,HA33450,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-14 5,Yamato,701052,M?,CF2303,G4.1,HYN,Thuy?n,Luân,Máy M?t/ M? thông tin,Match,,,,
#N/A,HYN,40,3844-7314321,297767,SEWING MACHINE,1,1,219781,219781,219781,HA33507,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-12 12,Yamato,219781,HA33507,CF2303,E4.2,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYN,41,3844-7314321,297735,SEWING MACHINE,1,1,219678,219678,219678,HA33496,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-11 11,Yamato,219678,HA33496,CF2303,E7.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,42,3844-7254321,297741,SEWING MACHINE,1,1,219694,219694,219694,HA33874,CF2303M-132M,CF2303M,HYS,In production,KHO BRA,Interlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,MEC-16 18,Yamato,219694,HA33874,CF2303M-132M,KHO BR,,Huy,Ngà,,Match,,,,
#N/A,HYN,43,3844-7314321,297800,SEWING MACHINE,1,1,738540,737297,737297,HA33504,CF2303M-132M,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,8/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-10 15,Yamato,738540,HA33504,CF2303,E5.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,44,3844-7254321,297807,SEWING MACHINE,1,1,219618,219618,219618,HA33740,CF2339M-156S5,CF2339M,HYS,In production,X??ng A,Interlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008," $1,740 ", $-   ,Mechanic,Máy may,,MEC-70 7,Yamato,219618,HA33704,CF2339M-156S5,F3,,Tú,Ng?c Anh,,Match,,,,
#N/A,HYS,45,3844-7244321,297815,SEWING MACHINE,1,1,219684,219684,219684,HA33830,CF2339M-156S5,CF2339M,HYS,In production,KHO BRA,Interlock,Sewing machine,,,,,,,,MACHEQUIP,8/1/2008," $1,740 ", $-   ,Mechanic,Máy may,,MEC-15 18,Yamato,219684,HA33830,CF2339M-156S5,KHO BR,,Huy,Ngà,,Match,,,,
